time,tmax,tmin,date
0001-06-05 00:00:00,25.837723,14.755787,06-05
0001-06-06 00:00:00,26.789606,14.932447,06-06
0001-06-07 00:00:00,26.96289,15.614553,06-07
0001-06-08 00:00:00,25.842854,15.248619,06-08
0001-06-09 00:00:00,26.84358,15.668104,06-09
0001-06-10 00:00:00,26.130743,16.206127,06-10
0001-06-11 00:00:00,26.95442,16.716125,06-11
0001-06-12 00:00:00,27.099783,16.888859,06-12
0001-06-13 00:00:00,27.330671,16.246515,06-13
0001-06-14 00:00:00,27.115007,16.430233,06-14
0001-06-15 00:00:00,27.828503,16.917408,06-15
0001-06-16 00:00:00,28.720665,16.915655,06-16
0001-06-17 00:00:00,28.840654,17.529129,06-17
0001-06-18 00:00:00,28.022385,17.409771,06-18
0001-06-19 00:00:00,27.721895,17.172796,06-19
0001-06-20 00:00:00,28.89784,17.097124,06-20
0001-06-21 00:00:00,28.456154,17.991503,06-21
0001-06-22 00:00:00,28.402401,18.058601,06-22
0001-06-23 00:00:00,27.617443,17.179873,06-23
0001-06-24 00:00:00,27.988523,17.16888,06-24
0001-06-25 00:00:00,27.966158,17.209526,06-25
0001-06-26 00:00:00,28.676928,17.854883,06-26
0001-06-27 00:00:00,28.508217,17.510489,06-27
0001-06-28 00:00:00,28.583603,17.551277,06-28
0001-06-29 00:00:00,28.628756,17.81093,06-29
0001-06-30 00:00:00,28.66791,17.81102,06-30
0001-07-01 00:00:00,28.760117,17.52314,07-01
0001-07-02 00:00:00,28.404314,17.023443,07-02
0001-07-03 00:00:00,28.915216,18.258232,07-03
0001-07-04 00:00:00,28.13568,18.026167,07-04
0001-07-05 00:00:00,28.731949,17.833258,07-05
0001-07-06 00:00:00,29.623714,18.227333,07-06
0001-07-07 00:00:00,29.634777,18.560623,07-07
0001-07-08 00:00:00,29.492168,18.817745,07-08
0001-07-09 00:00:00,29.625566,18.618818,07-09
0001-07-10 00:00:00,28.484528,18.355787,07-10
0001-07-11 00:00:00,28.79523,18.322266,07-11
0001-07-12 00:00:00,29.562246,18.55361,07-12
0001-07-13 00:00:00,29.846727,18.363297,07-13
0001-07-14 00:00:00,29.75282,18.509556,07-14
0001-07-15 00:00:00,29.848803,18.363588,07-15
0001-07-16 00:00:00,29.970892,18.612713,07-16
0001-07-17 00:00:00,30.979736,19.366146,07-17
0001-07-18 00:00:00,30.82617,19.832773,07-18
0001-07-19 00:00:00,30.684778,20.241102,07-19
0001-07-20 00:00:00,30.206781,19.698671,07-20
0001-07-21 00:00:00,29.14823,19.266327,07-21
0001-07-22 00:00:00,29.552189,18.938019,07-22
0001-07-23 00:00:00,29.068235,18.258375,07-23
0001-07-24 00:00:00,29.337461,18.107573,07-24
0001-07-25 00:00:00,29.445414,18.519535,07-25
0001-07-26 00:00:00,29.253885,18.73261,07-26
0001-07-27 00:00:00,29.061413,18.532387,07-27
0001-07-28 00:00:00,28.774456,17.501072,07-28
0001-07-29 00:00:00,28.658796,17.157753,07-29
0001-07-30 00:00:00,28.71359,17.89386,07-30
0001-07-31 00:00:00,29.080496,17.714872,07-31
0001-08-01 00:00:00,29.76028,17.606237,08-01
0001-08-02 00:00:00,29.408243,18.064531,08-02
0001-08-03 00:00:00,29.338291,18.043865,08-03
0001-08-04 00:00:00,28.844612,17.338097,08-04
